year,zone,temp
1916,G.24S-44S,-0.2
1916,H.44S-64S,-0.17
1916,I.64S-90S,-1.02
1917,A.90N-64N,-0.73
1917,B.64N-44N,-0.37
1917,C.44N-24N,-0.37
1917,D.24N-EQU,-0.72
1917,F.EQU-24S,-0.57
1917,G.24S-44S,-0.22
1917,H.44S-64S,-0.09
1917,I.64S-90S,0.09
1918,A.90N-64N,-1.28
1918,B.64N-44N,-0.16
1918,C.44N-24N,-0.28
1918,D.24N-EQU,-0.35
1918,F.EQU-24S,-0.29
1918,G.24S-44S,-0.05
1918,H.44S-64S,-0.22
1918,I.64S-90S,-0.25
1919,A.90N-64N,-0.92
1919,B.64N-44N,-0.45
1919,C.44N-24N,-0.26
1919,D.24N-EQU,-0.22
1919,F.EQU-24S,-0.16
1919,G.24S-44S,-0.14
1919,H.44S-64S,-0.32
1919,I.64S-90S,0.22
1920,A.90N-64N,-0.07
1920,B.64N-44N,-0.07
1920,C.44N-24N,-0.31
1920,D.24N-EQU,-0.36
1920,F.EQU-24S,-0.14
1920,G.24S-44S,-0.18
1920,H.44S-64S,-0.48
1920,I.64S-90S,-1.12
1921,A.90N-64N,-0.13
1921,B.64N-44N,0.27
1921,C.44N-24N,-0.05
1921,D.24N-EQU,-0.26
1921,F.EQU-24S,-0.22
1921,G.24S-44S,-0.22
1921,H.44S-64S,-0.38
1921,I.64S-90S,-0.81
1922,A.90N-64N,-0.48
1922,B.64N-44N,-0.3
1922,C.44N-24N,-0.09
1922,D.24N-EQU,-0.31
1922,F.EQU-24S,-0.32
1922,G.24S-44S,-0.24
1922,H.44S-64S,-0.28
1922,I.64S-90S,-0.25
1923,A.90N-64N,0.04
1923,B.64N-44N,-0.04
1923,C.44N-24N,-0.21
1923,D.24N-EQU,-0.3
1923,F.EQU-24S,-0.25
1923,G.24S-44S,-0.25
1923,H.44S-64S,-0.41
1923,I.64S-90S,-0.52
1924,A.90N-64N,0.2
1924,B.64N-44N,-0.15
1924,C.44N-24N,-0.17
1924,D.24N-EQU,-0.23
1924,F.EQU-24S,-0.23
1924,G.24S-44S,-0.38
1924,H.44S-64S,-0.46
1924,I.64S-90S,-0.5
1925,A.90N-64N,-0.25
1925,B.64N-44N,0.26
1925,C.44N-24N,-0.13
1925,D.24N-EQU,-0.26
1925,F.EQU-24S,-0.19
1925,G.24S-44S,-0.24
1925,H.44S-64S,-0.54
1925,I.64S-90S,-0.83
1926,A.90N-64N,0.42
1926,B.64N-44N,0.26
1926,C.44N-24N,-0.19
1926,D.24N-EQU,0.02
1926,F.EQU-24S,0.07
1926,G.24S-44S,-0.34
1926,H.44S-64S,-0.45
1926,I.64S-90S,-0.61
1927,A.90N-64N,-0.1
1927,B.64N-44N,-0.13
1927,C.44N-24N,-0.1
1927,D.24N-EQU,-0.1
1927,F.EQU-24S,-0.16
1927,G.24S-44S,-0.3
1927,H.44S-64S,-0.45
1927,I.64S-90S,-1.35
1928,A.90N-64N,0.55
1928,B.64N-44N,-0.08
1928,C.44N-24N,-0.2
1928,D.24N-EQU,-0.13
1928,F.EQU-24S,-0.15
1928,G.24S-44S,-0.29
1928,H.44S-64S,-0.48
1928,I.64S-90S,-2.1
1929,A.90N-64N,-0.03
1929,B.64N-44N,-0.51
1929,C.44N-24N,-0.34
1929,D.24N-EQU,-0.25
1929,F.EQU-24S,-0.27
1929,G.24S-44S,-0.41
1929,H.44S-64S,-0.44
1929,I.64S-90S,-1.05
1930,A.90N-64N,0.4
1930,B.64N-44N,0.16
1930,C.44N-24N,-0.07
1930,D.24N-EQU,-0.08
1930,F.EQU-24S,-0.11
1930,G.24S-44S,-0.33
1930,H.44S-64S,-0.47
1930,I.64S-90S,-2.57
1931,A.90N-64N,0.37
1931,B.64N-44N,0.08
1931,C.44N-24N,-0.12
1931,D.24N-EQU,0.07
1931,F.EQU-24S,0.03
1931,G.24S-44S,-0.42
1931,H.44S-64S,-0.4
1931,I.64S-90S,-0.38
1932,A.90N-64N,0.2
1932,B.64N-44N,0.31
1932,C.44N-24N,-0.17
1932,D.24N-EQU,-0.2
1932,F.EQU-24S,-0.18
1932,G.24S-44S,-0.2
1932,H.44S-64S,-0.53
1932,I.64S-90S,-0.96
1933,A.90N-64N,-0.46
1933,B.64N-44N,-0.39
1933,C.44N-24N,-0.09
1933,D.24N-EQU,-0.3
1933,F.EQU-24S,-0.31
1933,G.24S-44S,-0.21
1933,H.44S-64S,-0.49
1933,I.64S-90S,-1.12
